[00:00:00] 只是开了一扇窗户
[01:12:09] 不要轻易的去去所谓叫曲线救国这个事情
[01:12:13] 因为人嘶怎么说呢
[01:12:16] 很容易忘记一些东西
[01:12:18] 嗯对很容易忘记原来你坚持的一些东西
[01:12:21] 这是第一个
[01:12:21] 第二个
[01:12:22] 从技术的角度来说
[01:12:23] 我也认为说
[01:12:25] 并不是说你在某一方向上突破这件事情
[01:12:28] 就能真正的帮助到我们AGI实现
[01:12:30] 因为真正的单项能力突破这件事情
[01:12:33] 当然我看了有点可能有点狭隘了
[01:12:34] 但是你可以看到上一代人工智能
[01:12:37] 比如说在这些视觉上
[01:12:39] 在有些特定的任务上
[01:12:41] 单项能力上他确实突破了
[01:12:43] 他确实比人还好了
[01:12:44] 那so word它不解决问题
[01:12:46] 包括自动驾驶
[01:12:47] 可能解决了也不能啊
[01:12:49] 对带来通用人物
[01:12:51] 其实大家都知道这个自动驾驶
[01:12:52] 现在是是在在干什么
[01:12:54] 所以现在为什么大家又在从马斯克之后
[01:12:58] 就开始转向什么视觉方案啊
[01:13:00] 或者是大模型方案什么之类的这种方案
[01:13:03] 是因为那大家重新认识了这个问题
[01:13:06] 重新定义了所谓驾驶
[01:13:08] 这个行为到底是个什么行为
[01:13:09] 这是什么意思
[01:13:10] 看你把这个问题定义在哪
[01:13:12] 比如说原来是搞自动驾驶
[01:13:13] 这个事情是一般来说两拨人
[01:13:15] 计算机的人和自动控制的人
[01:13:17] 搞自动化
[01:13:18] 自动控制的人就这两拨人嗯
[01:13:20] 所以经典的这个自动驾驶的这个回路
[01:13:23] 就是说我有感知啊
[01:13:26] 不管是雷达也好
[01:13:27] 视觉也好
[01:13:27] 还是什么毫米波也好对吧
[01:13:29] 或采集信号
[01:13:31] 然后把它变成这个计算系统的输入
[01:13:33] 然后计算系统呢它实际上是个决策系统
[01:13:36] 我要根据这个输入这些信号来研判
[01:13:38] 说我在当下这个情况到底是什么情况
[01:13:42] 然后决策我的行为输出是什么
[01:13:45] 是打方向
[01:13:46] 踩刹车还是加油门
[01:13:47] 它实际上是一个这样的一个闭环的
[01:13:50] 这样的一个自动控制系统
[01:13:51] 它所有东西是白盒的
[01:13:52] 透明的
[01:13:53] 这种方法论就认为是说
[01:13:54] 我通过这样一个闭环的这样一个系统
[01:13:56] 我只要把它做到灵敏度足够高
[01:13:58] 主要知道我的感知的精度足够高
[01:14:01] 我的决策这个链路的时延时做的足够的短
[01:14:05] 我这开车就没问题
[01:14:06] 但是后来发现这种方案
[01:14:09] 他最害怕的是各种corner case
[01:14:11] 你可以训练1万遍呃
[01:14:13] 10万遍
[01:14:14] 100万遍
[01:14:14] 路上碰到车怎么办
[01:14:15] 碰到公交车怎么办
[01:14:16] 碰到车道线怎么碰
[01:14:17] 到红灯怎么办
[01:14:18] 但是你很难训练1000遍
[01:14:20] 1万遍说路路上突然窜过去一只兔子怎么办
[01:14:23] 因为你没有那么多数据
[01:14:25] 让他去学习这个模式到底是怎么回事
[01:14:28] 对吧
[01:14:28] 这个判断题很难对
[01:14:30] 它是笨的
[01:14:30] 他不是笨的
[01:14:32] 他是它只能机械的教条的来执行
[01:14:35] 这些我学习到的规则
[01:14:36] 规则以外的东西
[01:14:37] 我是没有办法泛化的
[01:14:38] 这个就不是你们定义的那个认知智能
[01:14:40] 对认知的能力是说我通过有限的样本学习
[01:14:43] 或者说这个大量数据学习之后
[01:14:46] 我总结出来
[01:14:46] 这个东西是能搬到一些我没见过的情况下
[01:14:49] 能泛化
[01:14:50] 能放话的嗯
[01:14:51] 这个才是我觉得是认知智能和原来的感知智能
[01:14:55] 最大的一个区别
[01:14:56] 有脑子对得有脑子
[01:14:58] 但是脑子的最重要的点是在于
[01:15:00] 我们能够根据这个记忆去推演一些新的情况
[01:15:03] 能够举一反三对
[01:15:04] 就是能放话
[01:15:05] 就是泛化
[01:15:06] 所以这个是很关键的东西
[01:15:07] 但这个泛化能力到底是啥
[01:15:09] 是啥呢
[01:15:10] 学习能力
[01:15:11] 逻辑推理能力
[01:15:12] 还有自我纠正错误
[01:15:13] 识别错误
[01:15:14] 纠正错误的能力
[01:15:15] 你看这些加起是不是就会出现一些能力
[01:15:19] 实现一种可能我可以试嘛
[01:15:21] 人也是这样啊对吧
[01:15:22] 教你开车
[01:15:23] 开会了
[01:15:23] 那个手动挡的车
[01:15:24] 让你去开自动挡的车
[01:15:26] 其实你会很快就会
[01:15:27] 为什么你会去尝试啊
[01:15:29] 尝试诶不对
[01:15:30] 跟以前不一样
[01:15:31] 那我尝试几次之后就知道哦
[01:15:32] 原来是这样
[01:15:33] 其实估计估计也没人告诉你怎么开
[01:15:36] 你自己就能学会
[01:15:37] 这就是你学习反馈试错
[01:15:42] 然后再放换到新的情况下去
[01:15:44] 因为我前段时间跟一个数据专家聊
[01:15:46] 我觉得印象还挺深的
[01:15:47] 他说什么样是好的数据
[01:15:48] 以前以为就是对的数据是好的数据
[01:15:50] 后来发现错了
[01:15:51] 就是有很多就是它中间出错
[01:15:54] 然后又纠正的数据是好的数据
[01:15:56] 这种数据可能更贵
[01:15:57] 就是它含有那个试错的过程吗
[01:15:59] 对对吧
[01:16:00] 这些数据里面
[01:16:01] 其实就这个就是我刚才说的一个问题
[01:16:02] 就是真正的认知这个能力
[01:16:05] 或者说学习的这个能力本质是什么
[01:16:07] 人的这个认知能力到底是什么
[01:16:09] 他是从这个正确的数据里边
[01:16:11] 已有的这个给他的这种规则性的这种数据里面
[01:16:13] 学习到的这个知识更有用
[01:16:15] 机械性的知识记忆下来更有用
[01:16:17] 还是说在这个过程当中试错的这个经验
[01:16:20] 对来说更有用对吧
[01:16:21] 你看那个SUTTON就今年的那个图灵奖
[01:16:24] 他的理论就是叫experience error
[01:16:27] 就是进入到一个经验时代
[01:16:30] 经验是既有正确的
[01:16:32] 又有失败的错误的
[01:16:35] 你所有的体验从经验去学习
[01:16:38] 对对对
[01:16:38] 你所有的体验是你智能的提升的一个必经路径
[01:16:42] 对他也是the比特拉森的作者
[01:16:43] 是的
[01:16:44] 所以我觉得他说的有道理的是有道理的
[01:16:47] 所以现在的学习呃
[01:16:50] 大模型的这个学习越来越强调呃
[01:16:53] 预训练之外的呃
[01:16:55] middle和post train嗯
[01:16:56] 你看POS圈大量的就是在做这方面的学习
[01:16:59] 诶
[01:16:59] 说到这个
[01:17:00] 我看看了唐杰老师前两天的那个啊那个微博
[01:17:04] 微博看对
[01:17:06] 写了一个很长的微博
[01:17:07] 在12月23号的时候
[01:17:08] 他把人工智能当下这个范式和阶段
[01:17:11] 其实描述的还是挺清晰的
[01:17:12] 就是说模型扩展先是从预训练的scaling
[01:17:15] 然后到了meet和post training的scaling
[01:17:18] 然后现在到了算是agent阶段
[01:17:20] 他说的是原来的agent是通过模型应用来实现
[01:17:23] 现在模型已经可以
[01:17:24] 直接将A证的数据集成到训练过程
[01:17:27] 增强模型的通用性
[01:17:28] 所以你们整体看这个skin law
[01:17:31] 在今天当下这一刻他还在继续吗
[01:17:34] 现在的skin ing和比如说3年前
[01:17:36] 两年前的skin ing出现什么变化
[01:17:38] 其实这个事情挺有意思的
[01:17:40] 他写的这个这个东西
[01:17:41] 其实你还要再往前追溯追溯
[01:17:43] 其实我们之前啊
[01:17:44] 我们提出来过一个叫L1到L5的
[01:17:47] 就通用人工智能实现的
[01:17:48] L1到L5的五个阶梯预训练是第一个阶段
[01:17:51] 它解决的就是你从已有的数据里面
[01:17:54] 学习到这种世界知识
[01:17:56] 一些常识
[01:17:57] 对对对
[01:17:57] 实际死记硬背吧
[01:17:58] 你就把它记下来就完了对吧
[01:18:00] 第二个呢是对齐和推理
[01:18:02] 对齐和推理就是说你记下这些知识之后
[01:18:04] 你要会用正确的用
[01:18:06] 并且能够把它进行一些组合
[01:18:08] 在合适的地方去组合来解答一些实际的问题
[01:18:11] 这里面的关键是强化学习这个对齐和推理
[01:18:13] 还不是其实它的关键是SFT
[01:18:15] 第三个阶段就是现在我们说的这个自学习阶段
[01:18:19] 就是他的关键是强化学习
[01:18:21] 自学习的对
[01:18:22] 重点是强化学习
[01:18:23] 对
[01:18:24] 就是在不断的在经验当中
[01:18:25] 在试错当中去学习正确的经验
[01:18:27] 错误的经验对比
[01:18:28] 然后不断的获取这个强化的信号
[01:18:31] 然后我去往正确的方向去走
[01:18:32] 它不是一个死记硬背的过程
[01:18:34] 我学习的是个过程
[01:18:35] 而是这个过程
[01:18:36] 然后L4呢是这个叫自我认知
[01:18:39] 因为就还是回到我们说的那个
[01:18:42] 张张院士画的那个象限图上
[01:18:44] 你除了你知道你知道的事情以外
[01:18:46] 你还得知道你不知道的东西
[01:18:48] 所以你没有这个自我认知的这个边界
[01:18:50] 你你就不知道哪些是我不知道的
[01:18:53] 哪些是我知道的
[01:18:54] 再往后L5就是到人类的这个
[01:18:57] 类似像人类的意识这种conscious的那类东西
[01:19:01] 那就更复杂一些啊
[01:19:02] 定义还不是那么清晰
[01:19:03] 但至少呃
[01:19:05] 我们认为这L1到L5应该是这么个过程
[01:19:08] 所以现在在中间L3这个位置上
[01:19:10] 所以skating l翻展到L3的时候
[01:19:12] 你看L1的时候
[01:19:14] skin law是什么
[01:19:14] 就是参数量数据量对算力对啊
[01:19:17] 对数据对算力报参数嗯对吧
[01:19:19] L2skin law变成了什么
[01:19:21] 变成了嗯SFT就不说
[01:19:24] 变成了推理的计算时的这个叫啊推理时计算
[01:19:28] Test time skin
[01:19:29] 对变成了这个计算量
[01:19:31] 然后L3变成了一个强化学习的scanning
[01:19:34] Ios
[01:19:35] 成为这个scanning load所谓的这个核心
[01:19:37] 但再往后是什么
[01:19:38] 你看cn low
[01:19:39] 它它其实也是在不同的时间段
[01:19:42] 不同的这个阶段
[01:19:43] 它在不断的在变化
[01:19:44] 其实这个变化也很正常
[01:19:46] 因为你想想sky law本身
[01:19:47] 他提出来的时候是一个非常不严谨的一个说法
[01:19:51] 为什么他就说随着这个参数量的这个增长
[01:19:55] 智能水平呈呈现一个指数级的爆发式的
[01:19:58] 这个增长
[01:19:59] 它只是个现象的描述嗯
[01:20:01] 他并没有一个很科学的依据
[01:20:03] 你看23年大家都相信暴力美学啊对啊
[01:20:06] 就简简单粗暴堆堆算力
[01:20:08] 对啊对啊
[01:20:09] 但是这个从科学的角度来说
[01:20:12] 如果你发现了一个现象
[01:20:15] 对科学家来说最吸引人的是什么
[01:20:17] 吸引吸引大家是什么
[01:20:18] 是探究这个现象背后的原因到底是啥
[01:20:21] 我掌握了这个原因的本质
[01:20:23] 我就能利用好这个事情
[01:20:25] 而不是从简单的表象上来说啊
[01:20:28] 你对参数啊对吧
[01:20:30] 总有一天你会对到说诶好像不起作用了
[01:20:33] 那从你们的视角
[01:20:34] 什么时候是对
[01:20:35] 算力不起作用的时候是哪个时间点
[01:20:37] 这个倒也没有一个特别明确的时间点
[01:20:40] 其实是堆到一定程度之后
[01:20:43] 成本先受不了了
[01:20:44] 成本受不了了哦
[01:20:45] 对有多贵了
[01:20:47] 非常贵啊
[01:20:47] 那你算你涨价
[01:20:49] 你你也知道这个23年就开始涨嘛
[01:20:51] 那涨的多可怕
[01:20:53] 成本受不了了
[01:20:54] 成本受不了了
[01:20:55] 大家就不敢继续这么
[01:20:56] 那这时候有两条路
[01:20:58] 就是第一个是我融更多的钱
[01:20:59] 我讲更大的故事
[01:21:00] 第二条路是开始优化
[01:21:03] 是你们选的哪一条open i走的坚决的走到第一条
[01:21:06] 嗯是吧嗯然后我们呢做了也做了第二条
[01:21:10] 第一条当然要做你你你还得去用钱
[01:21:12] 这个你纯靠自己挣钱
[01:21:13] 你肯定挣不来那点钱
[01:21:14] 你肯定第一条你要要做
[01:21:16] 然后第二条呢你也得做
[01:21:19] 所以当时我们做了很多这方面的工作
[01:21:21] 就你刚才问说我们训练呃
[01:21:24] GM130币花了多少钱对吧
[01:21:27] 我们算算力
[01:21:28] 我们才花了400万人民币
[01:21:29] 算上人工啊
[01:21:30] 什么7788+1起大概大约1000万人民币
[01:21:33] 那你想想open i gt3那个年代2000万美元
[01:21:39] 1/14
[01:21:40] 所以这是中国团队的优势
[01:21:43] 大家都会去向这个细节抠细节
[01:21:46] 去要要这个效益
[01:21:49] 要这个收益对成本去雕算法
[01:21:51] 最后他的雕比较好调这个东西
[01:21:53] 甚至包括后来说的
[01:21:54] 我们说的能在这个比较便宜的
[01:21:58] 这个叫消费级卡上做迁移模型的推理
[01:22:01] 这事也是我们先干的
[01:22:02] 那也很便宜
[01:22:03] 降低成本
[01:22:04] 你从100多万的成本
[01:22:06] 100大几10万的成本降到只需要二三十万
[01:22:09] 那大家也很happy啊
[01:22:11] 包括现在我们仍然也还在做这个事
[01:22:13] 嗯这两天我们不是更新4.7吗
[01:22:16] 这个模型表现非常好
[01:22:18] 非常好
[01:22:18] 但是好并不是因为它把参数量又加了一倍
[01:22:22] 或者什么之类的
[01:22:23] 没有啊
[01:22:23] 我们觉得参数量还是就300多B它为什么好呢
[01:22:27] 好的点就在于说
[01:22:28] 首先第一我的训练效率更高
[01:22:30] 数据利用率更高对吧
[01:22:32] 模型的架构本身就有这个优势
[01:22:34] 第二我们其实在模型本身这个参数量设计
[01:22:38] 结构设计的时候
[01:22:39] 就考虑到未来在推理的时候
[01:22:43] 怎么样控制这个成本
[01:22:45] 我就可以单机推理八八卡就够
[01:22:48] 我不太需要什么16卡嗯
[01:22:50] 所以降成本一直是一条主线
[01:22:52] 对对对
[01:22:53] 一直是一条直是也很重点
[01:22:55] 对对对
[01:22:55] 我们一直在做这个事
[01:22:57] 包括跟很多这个国产航芯片啊什么之类的
[01:22:59] 做适配啊什么的
[01:23:00] 其实也是在找这个算力上
[01:23:03] 这个成本降低的这种办法
[01:23:04] 刚才说到这个skin的好好几个阶段
[01:23:07] 这个对应到质朴的发展的过程中
[01:23:09] 你觉得有影响他的一些决策吗
[01:23:11] 或者是技术判断
[01:23:12] 这个应该是伴随着整个的研究的过程
[01:23:15] 所以刚才要表达那个意思是说
[01:23:17] 对于scanning law这种就是你现象描述的
[01:23:20] 所谓的现象描述的这种事情
[01:23:21] 我们并不特别迷信
[01:23:22] 所以23年
[01:23:23] 当大家市场上都在说暴力美学的时候
[01:23:26] 你你们是心里是不屑的嗯
[01:23:29] 我们倒没有说特别不屑
[01:23:31] 只是说在能力范围之内
[01:23:34] 我们该做的事情肯定会去做
[01:23:35] 你那个时候我们的模型的体量
[01:23:38] 那时候还是DX模型嘛
[01:23:39] 就是单体的球迷模型嘛
[01:23:41] 一直就是一千千亿嗯
[01:23:44] 一直到24年到JM4的时候
[01:23:47] 才把它扩到2000亿嗯
[01:23:49] 就我们一直很克制哦
[01:23:51] 就没有像市面上很多其他的那个友商
[01:23:54] 或者是研究团队啊
[01:23:56] 上来就直接奔着万亿去了
[01:23:59] 或者打几千亿的模型去了
[01:24:01] 就我还是非常克制的
[01:24:02] 那当时会不会觉得自己太慢了
[01:24:04] 这件事情其实并不取决于这个模型的参数量
[01:24:07] 或者是这个规模上
[01:24:09] 其实本质上还是你看最后的效果
[01:24:12] 就是你们有自信
[01:24:13] 一个更小的模型
[01:24:14] 其实是可以有类似效果或者更好的效果
[01:24:17] 其实里面有很多工东西都可以做
[01:24:19] 很多工作可以做
[01:24:20] 比如刚才说应该说了
[01:24:21] 这个所谓叫好的数据和有价值的数据
[01:24:24] 这个事情
[01:24:25] 数据工程上它确实有很多事情可以做
[01:24:27] 同样的参数量
[01:24:28] 你用不同的数据去训练出来的效果可能不一样
[01:24:30] 那我把数据量减小20%
[01:24:33] 但性能仍然维持
[01:24:34] 那不挺好的吗
[01:24:36] 那我可以用剩下的一个计算量
[01:24:37] 再加20%的别的数据
[01:24:39] 让它在别的能力上再有提升
[01:24:41] 这不挺好的嘛
[01:24:42] 然后我加了这些数据之后
[01:24:43] 有可能比如说不同的训练方式
[01:24:45] 或者不同的数据进去之后
[01:24:46] 互相干扰模型的能力会下降
[01:24:48] 那我们怎么样让它加进去的时候不下降
[01:24:50] 就像我们做菜一样
[01:24:52] 各种佐料佐一点
[01:24:53] 确实特别想做做菜
[01:24:54] 哦对啊
[01:24:55] 放进去怎么能让它味道更好
[01:24:57] 而不是变得更糟糕
[01:24:58] 这里面很多的讲究
[01:25:00] 如果skin love不是一个非常科学的描述
[01:25:03] 你觉得这个过程更像是什么过程
[01:25:05] 嗯这是个非常好的问题
[01:25:07] 其实我也一直在想
[01:25:08] 可能也没有什么特别准确的答案
[01:25:11] 我个人对这个事情的认知是说
[01:25:14] 我们还是希望从科学的角度来说啊
[01:25:16] 还是希望不管是从原理还是从工程实践
[01:25:21] 系统的这个工程实践这个角度来说
[01:25:23] 去
[01:25:24] 找到说所谓的这个智能和计算之间的
[01:25:28] 本质联系是什么
[01:25:30] 本质关系是什么
[01:25:31] 今天解答到什么程度了
[01:25:33] 今天的认识是什么样的
[01:25:35] 智能和计算之间
[01:25:37] 反正我的感受里面是没有什么特别明确的答案
[01:25:39] 至少就是说现在得出一个结论
[01:25:41] 是说现在的这种计算方式
[01:25:43] 计算的这种方式其实还不是最完美的
[01:25:47] 应该还不是最完美的
[01:25:48] 还会有更好的方式
[01:25:50] 现在不足是什么
[01:25:51] 消耗太大
[01:25:52] 计算还是有些复杂
[01:25:54] 那其实那个谭晶老师那个微博里面
[01:25:56] 其实也提了一个
[01:25:58] 第一条就说了
[01:25:59] 全村外不一定是终极答案
[01:26:01] 很有可能会有更有效或者更这个优美的方式
[01:26:06] 算法结构来替代嗯
[01:26:09] 这就是我刚才讲的
[01:26:10] 就是我们看到了这些事情之后
[01:26:12] 做了很多的尝试之后发现
[01:26:14] 其实这个问题真的好像还不是最终答案
[01:26:18] 所以基于transformer这个架构
[01:26:20] 它的效果你觉得现在已经见顶了吗
[01:26:22] 我觉得见顶倒也还没有
[01:26:24] 就刚才说的就是你能做的事情还太多了
[01:26:26] 因为这个战线其实很长
[01:26:28] 就很多是工程优化
[01:26:29] 对对对数据
[01:26:30] 然后算法数据算法微调嗯
[01:26:33] 你看那个transformer
[01:26:35] 它最那个重要的就是attention嘛
[01:26:37] 就是注意力机制
[01:26:38] 你看这个attention的这个这个东西
[01:26:41] 从23年
[01:26:42] 从20年开始到现在
[01:26:43] 对改史魔改史
[01:26:45] 你看这个报了多少东西出来嗯
[01:26:47] 我经常会看到一些论文里面讲
[01:26:49] 各种各样的这个attention的这种变种
[01:26:51] 还挺有意思的
[01:26:52] deep sk也做了对啊
[01:26:54] 有很多啊
[01:26:54] 反正做了很多这些事情
[01:26:56] 我们也做了一些研究的
[01:26:58] 这方面的一些研究的工作
[01:27:00] 所以他为什么还有这么多的可以爆改的空间
[01:27:03] 其实就是在于它本身
[01:27:05] 可能还不是那个最完美的答案
[01:27:08] 那还比较粗糙哦
[01:27:09] 还有很多空间可以去探索
[01:27:11] 你没有探索下一代的架构吗
[01:27:13] 当然不是基于transformer的各种可能性
[01:27:16] 我们都都有在关注
[01:27:18] 都有点常识
[01:27:18] 那现在在这个架构上下的
[01:27:21] 你的智能鉴定了没有
[01:27:22] 我觉得还没有嗯
[01:27:24] 就是本来通过微调对
[01:27:26] 本来我们今年或者说叫对今年上半年
[01:27:30] 或者说去年年底的时候
[01:27:31] 我们觉得哎呀其实挺难的了
[01:27:33] 但第一个你看过完年以后
[01:27:35] 今年年初的时候
[01:27:36] DEPSG这个出现
[01:27:37] 其实又跟大家打开一个新的世界
[01:27:40] 你看还可以再往上提升对吧
[01:27:42] 包括推理能力
[01:27:43] 包括工程优化
[01:27:44] 还可以往上得提
[01:27:45] 原来我们讲做MOE可能并不一定是个特别好的
[01:27:49] 为什么
[01:27:49] 当时觉得不是啊
[01:27:50] 我是说之前的很多的这种认知
[01:27:52] 但并不是一个结论
[01:27:54] 后来就发现其实诶还是有很多空间可以去做
[01:27:56] 然后我们也重新打足了精神
[01:27:59] 开始研究这些事情呃
[01:28:01] 开始我们自己的一些尝试
[01:28:02] 到今年7月份8月份4.54.6
[01:28:05] 4.7的探索
[01:28:06] 你会发现诶你看我们也把这条路也走通
[01:28:09] 我们也加入了自己的一些想法
[01:28:10] 之后在这个新的这个架构下
[01:28:12] ME的架构下呃
[01:28:13] 我们也探索出来一个别人没探索过的一个空间
[01:28:17] 一个路径证明就是中国人那句话叫柳暗花明嘛
[01:28:21] 就别轻易放弃
[01:28:22] 所以即使是在transformer attention
[01:28:25] 就注意力机制的这个框架底下
[01:28:27] 其实还有很多东空间可以挖
[01:28:30] 还有很多事情可以做
[01:28:31] 嗯现在就过了那个浅浅挖一挖
[01:28:34] 就有金矿的那个时候了
[01:28:36] 就低垂的果实已经被人摘遍了
[01:28:37] 嗯那剩下的事并不代表没有过时了
[01:28:40] 你看我们23年讲的是王惠文
[01:28:42] 王
[01:28:42] 王小川
[01:28:43] 24年讲的是kimi mini max
[01:28:45] 到了25年
[01:28:46] deep sg成了主要的旋律
[01:28:47] 就DEPSG让你们吃惊吗
[01:28:49] deep sick还是对我们影响还是比较大的
[01:28:51] 就是冲击很大吗
[01:28:53] 嗯对对
[01:28:54] 其实是不管是从研究层面还是从工程层面呃
[01:28:58] 甚至包括市场层面
[01:28:59] 我们其实都仔仔细细的内部都研讨过这个事情
[01:29:02] 是反思还是研讨也算反思吧
[01:29:04] 我们反正工科的人都比较的叫理性化
[01:29:08] 嗯啊这些都没什么太大差别
[01:29:10] 几月份讨论的就2月份吧
[01:29:12] 嗯就2月份证券一回来
[01:29:14] 我们就在这密集的讨论这件事情
[01:29:16] 确实是给了我们很多的这个启示和提醒
[01:29:20] 对也学习到很多东西
[01:29:21] 嗯你当时讨论的结论是什么呀
[01:29:23] 讨论的结论就是说其实应该更开放式的
[01:29:27] 更打开一些自己的这个视野
[01:29:29] 开放式的看待这个大模型的研究和这个市场
[01:29:33] 很多时候呃这些因素都搅和在一起
[01:29:37] 你你很难把它理得非常的清楚
[01:29:39] 或分隔的非常的开嗯
[01:29:41] 嗯所以还是需要各方的协同
[01:29:45] 以更开放的态度来看待这些事情
[01:29:48] 而我们自己的研究方向应该还要更坚定一些
[01:29:50] 有有什么是觉得自己不坚定
[01:29:52] 不够坚定的
[01:29:53] 倒也没有
[01:29:54] 不是说这个意思
[01:29:55] 就是呃有一些事情我们会觉得说嗯
[01:30:00] 比如说我们发那个gm4plus的时候
[01:30:04] 是200多B的一个模型
[01:30:06] 我们感觉就做不上去了
[01:30:09] 好多地方都做不上去了
[01:30:10] 成本也很高嗯之类的这种事情
[01:30:13] 然后DEPC出来之后
[01:30:15] 我会提醒大家说
[01:30:16] 其实你看强化学习这一块
[01:30:18] 我们还下了力气不够对吧
[01:30:20] 然后他的主要的贡献就是强化信息这块
[01:30:25] 有一些新的策略和新的方法出现
[01:30:28] 那是第一个
[01:30:29] 第二个在工程优化上其实还可以做的更底层
[01:30:33] 更极致一些
[01:30:34] 第三个就是真正的这个下一个范式的这种探索
[01:30:39] 我觉得应该可以更大胆一些去想象一下呃
[01:30:42] 因为我记得我印象比较深的是deep sk
[01:30:45] 当时的技术报告里面提出来
[01:30:47] 是说他们尝试把sf t跳过去
[01:30:50] 直接在base上做强化
[01:30:52] 也能7788
[01:30:54] 你们选择这条路了没
[01:30:55] 我们就做了一些尝试嗯
[01:30:57] 后来得出来的结论是说
[01:30:59] 其实还暂时没有办法完全把密度券扔掉
[01:31:04] 所以可能还是会啊
[01:31:07] 用一些mid train这样的一些阶段
[01:31:10] 这些方法
[01:31:10] Post train
[01:31:11] 就是尤其是强化学习这一块要加强是肯定的
[01:31:14] 而且后面后面加强了RL对后轮
[01:31:17] 后面你看这个最近4.7
[01:31:19] 或者前两天他们那个呃在那个REDIS上开了一个ma
[01:31:23] 然后我看了一下他们当时聊的那个记录
[01:31:26] 里面还挺有意思的
[01:31:28] 然后呃专门他们也介绍了
[01:31:31] 就是给大家介绍了
[01:31:33] 我们的这个强化学习的一个框架叫slam
[01:31:35] 那个框架挺典型的
[01:31:37] 挺有意思的
[01:31:38] 一个研究的成果
[01:31:39] 算法或者叫工程融合的这样的一套方法
[01:31:43] 你怎么把不同的任务在同样一个框架底下去
[01:31:46] 不同的强化学习任务融合在一个框架底下
[01:31:49] 然后有机的把它整合到一起
[01:31:51] 一个框架去解决所有的问题
[01:31:52] 我觉得这也是在那之后
[01:31:54] 在这方面获得这个长足进步
[01:31:56] 和研究成果的一个体现
[01:31:58] 也得益于这些这些东西
[01:31:59] 基础工作的这种做得更扎实
[01:32:02] 才会有后面4.5
[01:32:03] 4.6
[01:32:03] 4.7这个一步一个台阶的这种上去
[01:32:05] 这个我觉得deep sk
[01:32:06] 可能整个这个行业
[01:32:07] 大家都带来了很多学习的地方
[01:32:10] 你们当时在想什么呢
[01:32:11] 有没有在想为什么不是我们做的
[01:32:13] 我觉得这种问题好像对工科男来说
[01:32:16] 不是一个必要思考的问题
[01:32:20] 因为我们比较尊重事实嘛
[01:32:21] 那事实就是说这个事情不是你做的
[01:32:23] 那你想这个问题好像
[01:32:25] 那当然对我们呃后续改进这个有帮助
[01:32:29] 有帮助对吧
[01:32:30] 就是人家做对了什么
[01:32:31] 为什么这个事情我没有做
[01:32:33] 你想清楚这个原因
[01:32:34] 下次注意才对吧
[01:32:36] 嗯就就就行
[01:32:37] 而且DPC非常坚定的开源
[01:32:39] 他比较彻底的吧
[01:32:41] 就是做了一个这个开源这个事情
[01:32:44] 你们对这个有什么想法
[01:32:45] 开源这个事其实我们也一直在做这个事情
[01:32:48] 但是因为那你们最早是最早开源的对吧
[01:32:51] 我们刚才也聊到了
[01:32:52] 从23年开始
[01:32:53] 我们就12年开始
[01:32:54] 我们一直在做开源这个事情
[01:32:55] 包括chat gm6B啊等等
[01:32:57] 到目前为止
[01:32:58] 我们已经有将近六七十个开源项目
[01:33:02] 这些项目的开这个下载量已经6000多
[01:33:06] 是整个开源社区里面还是算是比较知名的
[01:33:10] 一个开源的系列这些内容
[01:33:13] 所以开源一直是我们刻在基因里的事情
[01:33:15] 毕竟从学校里出来
[01:33:16] 还是觉得回馈大家的这个研究啊
[01:33:19] 或者是这些创新的探索
[01:33:21] 我觉得是我们必须要做的事
[01:33:22] 但是作为一个公司做开源这个事情
[01:33:25] 你看美国这些公司就很清楚
[01:33:27] 能感觉到就是他慢慢放弃这个事情
[01:33:30] 对有更多的往商业化利益去考虑
[01:33:32] 为什么闭源的商业化利益更高
[01:33:35] 因为他有这个技术性技术的溢价
[01:33:37] 那前提也是因为就说还有一个认知是说呃
[01:33:40] 开源和免费之间是不划等号的
[01:33:44] 是不能直接划等号的
[01:33:46] 但是在中国这个市场话语体系底下
[01:33:48] 好像这个是被混在一起的
[01:33:50] DEPSK做的很彻底
[01:33:52] 所以这个事情呢又被加强了大家这个印象
[01:33:55] 所谓开源就是免费
[01:33:56] 就是但实际上本质上在商业化市场里面
[01:34:00] 你会发现
[01:34:01] 其实这个事还真的不能混为一谈
[01:34:03] 所以DEPC彻底的开源对于其他人有什么冲击吗
[01:34:06] 肯定会有一些冲击
[01:34:07] 彻底开源的结果
[01:34:08] 就是说
[01:34:09] 大家可以基于他的一些很多的这个研究的
[01:34:11] 这个成果和基础去做很多事情
[01:34:14] 嗯对吧
[01:34:15] 但其实我我是觉得可能大家能复现
[01:34:18] 他那个结果的也不多
[01:34:20] 他的开源策略给你们带来了什么影响
[01:34:22] 你给我们带来的影响
[01:34:23] 就是说除了刚才说的是技术方面的事情
[01:34:25] 然后呃另外一方面就在商业化市场上
[01:34:28] 可能对我们的影响
[01:34:29] 就是说有很多就很多客户的脑子里边
[01:34:33] 他就把开源和免费就划等号了
[01:34:36] 给我们带来的印象
[01:34:37] 就是说哎你那都开源都不要钱了
[01:34:38] 你为什么还要收我钱呢
[01:34:40] 他会问这个问题
[01:34:41] 那怎么办
[01:34:42] 那只能用时间来证明
