[00:00:00] 物理世界的CEO不敢赌
[00:54:02] 浊者自浊
[00:54:03] 这是一种团队的看法
[00:54:05] 第二种团队看法说可以再观察
[00:54:08] 等个24小时啊
[00:54:10] 再看一下该不该说我等了几个小时
[00:54:13] 我已经受不了了
[00:54:13] 我说在中国
[00:54:14] 在全球好多地方都在讨论这个事情
[00:54:17] 就是他已经扩散的速度非常的快
[00:54:20] 我说当24个小时之后
[00:54:22] 可能这个子弹已经不知道飞到哪去了
[00:54:24] 非常简单
[00:54:25] 因为我们在旁边的开发使用的人
[00:54:28] 我们都知道他绝对不是一个人啊
[00:54:31] 说实话那一个继承人也是一样
[00:54:33] 他的的管理是有问题的
[00:54:34] 嗯啊它很烫
[00:54:38] 对我们上知道后面的版本会很好
[00:54:45] 因为内部很多人是觉得可以不说
[00:54:49] 因为我们自己知道就觉得
[00:54:50] 但实际上这个世界上99.99%的人
[00:54:53] 他是没有办法跟他touch到的
[00:54:55] 我记得当天晚上是我给我们的团队电话
[00:54:58] 我说明天早上你们给我想个创意
[00:55:01] 我要去告诉大家
[00:55:02] 这是一个真实的机器人
[00:55:04] 而不是一个人躲在里面
[00:55:06] 他们被我逼出来
[00:55:08] 在早上临时加了一个事情
[00:55:10] 然后这个事情之后的确有了有些人相信
[00:55:14] 也有更多人反而不相信
[00:55:16] 然后后来我们就再做了一场
[00:55:17] 但是速度是非常快的
[00:55:19] 为什么选择剪这个方式
[00:55:20] 因为网上有非常多的人呐
[00:55:22] 有各种各样的方法说
[00:55:24] 如果你是A
[00:55:24] 你肯定是因为这样的原因是一个真人
[00:55:27] 你如果是B可能是那个原因
[00:55:28] 我们觉得最容易的就是把他的腿
[00:55:32] 而且是左腿
[00:55:33] 因为左腿是大家可以看到他
[00:55:35] 因为他在他是从从左往右走路嘛
[00:55:40] 左腿是最容易看到的
[00:55:41] 这个是一个真的机器人啊
[00:55:44] 所以我们当时做了这样一个动作
[00:55:46] 去年那个爆炸性的舆论给你带来了什么信号呢
[00:55:48] 在机器人的研发上
[00:55:50] 我觉得有非常多有趣的结果
[00:55:53] 我们后来去看了中国的很多社交媒体
[00:55:56] 他们对这个继承人的价值的认认同感
[00:56:01] 绝大部分年轻人都期望进到家庭帮他干活
[00:56:06] 我认识的不在社交网站上发帖的
[00:56:10] 中年以上的男人和女人嗯
[00:56:14] 就是跟我这个岁数甚至比我还大的
[00:56:17] 很多人在考虑
[00:56:19] 等他老了之后
[00:56:20] 这个继承有什么用
[00:56:22] 我觉得这是非常不同的
[00:56:24] 就是在以前没有经过这么大的关联
[00:56:26] 他是没有这么大的data的哦
[00:56:28] 我我自己觉得这都是不同的视角
[00:56:31] 去看待一个事情
[00:56:32] 对有改变你们这款机器人的走向和流程吗
[00:56:36] 我觉得算是加速了
[00:56:37] 实际上在机器人行业里面
[00:56:39] 有非常多的非常优秀的人都加入
[00:56:42] 小鹏汽成
[00:56:43] 是一个嗯跟汽车创业有个非常非常大不同的
[00:56:47] 这个我现在还不能跟你分享
[00:56:49] 我觉得过个34年
[00:56:51] 等很多很多公司都踩了坑之后
[00:56:54] 大家会看到不同是什么
[00:56:56] 我觉得就是再过30年之后
[00:56:58] 你会看到机器人的竞争
[00:57:00] 会陷入到一种什么样的状态
[00:57:02] 小鹏的机器人踩了好多好多的坑
[00:57:04] 它不是你理解就能够避开的
[00:57:06] 它是真正你踩上去之后
[00:57:08] 你才知道他的整个逻辑
[00:57:10] 所以机器人创业
[00:57:11] 我甚至认为远超汽车的创业的难度啊
[00:57:15] 实际上汽车创业已经很难了
[00:57:17] 我个人来看
[00:57:18] 机器人的创业
[00:57:19] 大概是汽车公司创业难度的20~100倍
[00:57:22] 你看我还给了一个最低20倍
[00:57:25] 所以我自己的认为就是即使以小鹏的能力
[00:57:29] 去年年底出现了这次继承的营销之后
[00:57:32] 我觉得都让我们成功概率提高了一点点
[00:57:35] 我觉得是非常之好的
[00:57:37] 有价值的
[00:57:37] 所以我还是想说这个事情的挑战对于每家公司
[00:57:42] 包括我们自己都是非常有趣
[00:57:44] 但是也非常大的挑战
[00:57:46] 今天机器人公司太多了
[00:57:48] 我觉得远超于当年你们造车时候的
[00:57:51] 新成立的车企
[00:57:52] 你觉得呢数量上当年造车的时候有统计
[00:57:55] 最多时候300多架
[00:57:56] 但是呢我自己感觉就100来家啊
[00:58:01] 可能有很多家都是胎死腹中了吧
[00:58:04] 我怀疑啊
[00:58:05] 我觉得激情公司现在已经成立了
[00:58:06] 据说这200多家
[00:58:08] 实际上可能比当年汽车公司double了
[00:58:10] 但是我我自己还是想说的是
[00:58:12] 机型跟汽车不一样
[00:58:13] 因为汽车里面的分类可能是乘用车啊
[00:58:17] 举例啊
[00:58:18] 新能源车
[00:58:19] 商用车或者专用车或者微型车
[00:58:22] 你看这是分类吧
[00:58:23] 我觉得机器人的分类远不止这么七八个
[00:58:26] 分类之前可能有无数的分类
[00:58:29] 比如说做医疗的机器人
[00:58:32] 对机器人的体系里面做专门的货运的机器人
[00:58:35] 或者或检的机器人
[00:58:37] 我觉得都是可能有
[00:58:38] 而且机器人的逻辑里面有一个非常有趣的特点
[00:58:41] 我认为机器人有很多机器人不需要是人形的
[00:58:44] 这个我也很认同
[00:58:46] 只是说我们选了一个最像人的内心继承
[00:58:50] 我们选了一条这个道路
[00:58:51] 所以在这条道路上
[00:58:53] 我们小鹏在走
[00:58:54] 但是有很多条道路
[00:58:56] 我认为也能走出差异化和商业化
[00:58:59] 所以换一个角度
[00:59:01] 我觉得今天的继承公司
[00:59:03] 我自己觉得如果走通用人形集成
[00:59:06] 99.99会死掉
[00:59:09] 但是走各种差异继承
[00:59:11] 我觉得这个世界上可能有非常多的解法哦
[00:59:14] 那机器人的胜率还挺高
[00:59:16] 我觉得比乘用车高
[00:59:18] 这是我的看法
[00:59:19] 那你们为什么要选一个这么难的
[00:59:21] 最难的那条路呢
[00:59:22] 你想做什么
[00:59:23] 你有能力做什么
[00:59:25] 你觉得该不该做
[00:59:26] 然后你不做什么
[00:59:28] 和你觉得你如何做到有最好的概率论
[00:59:31] 你把这五个能力的组合
[00:59:33] 不就是你的企业或者产品战略吗
[00:59:35] 在你看来
[00:59:36] 通用人形机器人你的对手是谁啊
[00:59:38] 我觉得通用人形机器人现在没有对手
[00:59:40] 全都是自己
[00:59:41] 因为每一家做机器人公司
[00:59:43] 最重要要让自己的能力最强
[00:59:46] 你自己能力从底层就是组织嘛
[00:59:48] 再往上就是英法嘛
[00:59:50] 再往上你的整个的体系
[00:59:53] 包括了技术
[00:59:54] 产品
[00:59:54] 商品的体系能力
[00:59:56] 然后再往上是你的工程
[00:59:57] 我觉得去年你们机器人让呃非常出圈的
[01:00:00] 一个核心原因是因为它做的非常的拟人
[01:00:02] 你觉得这背后的最关键的一些技术的BT
[01:00:04] 是什么呀
[01:00:05] 以及还是在什么时间做的
[01:00:06] 对我可以讲一小部分啊
[01:00:08] 比如说举例
[01:00:09] 我觉得绝大部分人都低估了
[01:00:12] 在机器人的运动控制
[01:00:13] 实际上在汽车领域里面
[01:00:15] 运动控制是一个很多人在过去的100多年里面
[01:00:19] 都觉得已经解决的事情
[01:00:20] 所以很多乘用车的公司去做汽车
[01:00:23] 他们都是买谁谁谁的运动控制的能力
[01:00:27] 去进行组合
[01:00:29] 基层啊
[01:00:30] 嗯机器人在过去的时间可能来自于2018年
[01:00:34] 某些开源的运动控制
[01:00:36] NPC啊等等这样的一些事情
[01:00:38] 所以他们为什么看起来有很多的共识性
[01:00:40] 我觉得最终的一个集成真正要做好的
[01:00:44] 他应该完全比汽车的下下代还要能够做的更好
[01:00:50] 因为汽车实际上是由不同的控制域去做
[01:00:55] 单点控制
[01:00:55] 它的整体上是没有全协同的
[01:00:59] 他只是说他把边界做到极好
[01:01:02] 所以他把他分工能够分好
[01:01:04] 你做A我做B
[01:01:05] 我们两个有清晰的边界
[01:01:07] 但实际上比如说举一个例子
[01:01:09] 如果一个自动驾驶的汽车在左轮胎是雪地
[01:01:15] 右轮胎是草地的情况下
[01:01:18] 要转一个47度五的弯
[01:01:24] 该怎么转
[01:01:26] 这个对人都很难
[01:01:27] 因为你左边是雪地
[01:01:29] 右边是草地的粘着力
[01:01:31] 你整个四轮的控制
[01:01:33] 整个运动的平衡
[01:01:34] 整个食盐的管理
[01:01:36] 如果刚好转弯的时候
[01:01:37] 前面有车
[01:01:38] 左边有人是极其容易滑车就追尾上去的
[01:01:43] 所以汽车今天的运动控制
[01:01:45] 我想说的是是非常好
[01:01:48] 但是还远远还没做到足够的权能
[01:01:52] 就是还有很大的提高空间了
[01:01:53] 如果把机器人来说的话
[01:01:55] 机器人还处于可能
[01:01:56] 一九我都不知道是一九几几年的汽车
[01:01:59] 可能193几年
[01:02:00] 192几年的汽车
[01:02:02] 以maybe在那个时候可能是T字T型车
[01:02:05] 那个时代的今天的T型车有了吗
[01:02:07] 在机器人里
[01:02:08] 我觉得T型车在剧情里面肯定还没有
[01:02:11] 但是我觉得我只是说从底盘运动控制角度
[01:02:15] 也许还是属于那一代
[01:02:16] 回到你刚刚的问题
[01:02:17] 我觉得是要有一个全姿态理人
[01:02:23] 能够全AI组合的运动控制是极其困难
[01:02:28] 比如说举一个例子
[01:02:29] 今天你看了所有的集成
[01:02:31] 他要不然是走
[01:02:32] 要不然是打架
[01:02:34] 他的两种运动控制可能是要调节的
[01:02:37] 然后你说你要有五种运动控制没了
[01:02:41] 你要有实际上对一个人
[01:02:44] 一个人有200多种关节
[01:02:46] 它的组合是无限循环
[01:02:48] 就像我现在是两个拳头一样
[01:02:50] 这个而且他还有表情包
[01:02:52] 手眼脚
[01:02:53] 你的灵魂跟情绪的协同
[01:02:56] 所以我自己觉得就是
[01:02:59] 我们实际上在运动控制领域里面
[01:03:02] 是非常期望像人一样去思考全部的运动
[01:03:08] 如何能够用AI来控制
[01:03:10] 而不是用软件控制
[01:03:11] 嗯啊而且这个控制如何能做到平衡
[01:03:15] 就是像人的本能一样
[01:03:17] 当一个人学会走路
[01:03:19] 学会跑步
[01:03:20] 他是有本能能力的啊
[01:03:22] 当他看到一个地面
[01:03:23] 可能是有一个呃雪地或加到草地
[01:03:27] 它会甚至试探的走一下
[01:03:29] 来感受一下摩擦力和整个的体感
[01:03:33] 可能是一个有开水和一个有冰水的两块地
[01:03:37] 同时两个脚都要走
[01:03:38] 所以在基层领域里面
[01:03:39] 就是要去对这样的各种情况都要去做思考
[01:03:42] 来去思考运动控制
[01:03:44] 所以我我上次觉得嗯
[01:03:46] 小鹏可能的运动控制有点像汽车的下下代
[01:03:51] 所以这也是某种角度
[01:03:53] 我为什么我们认为绝大部分继承人
[01:03:55] 还是在很多年前的运动控制的汽车上面去
[01:04:00] 所以他自然只能用软件去来去缝合它
[01:04:04] 他自然他很难做出好的机器人的综合能力
[01:04:08] 机器人对于小鹏来说意味着什么呀
[01:04:10] 他是小鹏的远方
[01:04:11] 我们不是这样认为
[01:04:13] 我们觉得小萌新的10年有三条曲线吧
[01:04:16] 第一条曲线是汽车
[01:04:17] 把汽车干到完全的智能体啊
[01:04:20] 我觉得第二个是机器人
[01:04:23] 而机器人本身就是智能体
[01:04:25] 实际上汽车还要证明
[01:04:26] 也许要花10年证明软件能力占50%
[01:04:30] 但是我觉得机器人不用证明
[01:04:33] 如果一个机器人软件能力很差
[01:04:35] 你基本上不会要它
[01:04:36] 当然了
[01:04:37] 硬件能力很差
[01:04:37] 你也不会用它
[01:04:38] 这个我觉得第三条曲线我们是能够全球化
[01:04:41] 实际上机器人跟汽车有一个很大的不同
[01:04:44] 绝大部分都忽视了
[01:04:46] 就是说一旦机器人有能力规模化
[01:04:50] 它的规模化的速度会远超过汽车啊
[01:04:53] 汽车在过去的100多年里面
[01:04:54] 是逐步逐步规模化的
[01:04:55] 因为它有道路要建设
[01:04:57] 第二有交通法规要建设
[01:04:59] 第三个量产的难度很高啊
[01:05:02] 就比如说你今天做了一个特别好的车
[01:05:05] 一天卖了10万台啊
[01:05:07] 对不起
[01:05:07] 你没有能力下个月造出10万台啊
[01:05:10] 另外你也不敢过了三个月
[01:05:13] 真造出一个月10万台
[01:05:14] 因为你不知道后面能不能卖出10万台啊
[01:05:17] 这是汽车的一个本身的规律
[01:05:20] 但是我觉得机器人不一样
[01:05:21] 机器人有可能做的特别好
[01:05:23] 在某一个点我记住记住是一个点
[01:05:25] 不是一个面
[01:05:26] 我觉得它是有可能会有非常大的爆炸效应啊
[01:05:30] 就像我认为去年最大的在数字AI
[01:05:33] 就是AOBIC的coding啊
[01:05:35] 就是非常短的时间
[01:05:36] 就是大概不到18个月
[01:05:39] 从前年的下半年到去年年底就有巨大的变化
[01:05:43] 我自己认为之前也有可能性
[01:05:45] 虽然比他慢
[01:05:46] 因为他还是一个数字世界和一个物理世界
[01:05:48] 但是还是有可能的
[01:05:50] 对它会比汽车还慢吗
[01:05:52] 我觉得机器人如果能够软件能力到达
[01:05:56] 硬件的速度会远超汽车啊
[01:05:58] 当然了
[01:05:59] 换个角度
[01:06:00] 因为小公司一家汽车厂商
[01:06:01] 我们做机器人
[01:06:02] 跟很多公司做
[01:06:03] 基本我们是80%的硬件都自研
[01:06:06] 嗯啊我们手啊
[01:06:08] 芯片啊
[01:06:09] 关节啊
[01:06:09] 我们都残疾字眼啊
[01:06:11] 只是说我们跟可能跟很多公司的合作
[01:06:14] t o one是我们我们可能跟他的更上游
[01:06:17] detail two合作
[01:06:18] 只有这样的话
[01:06:19] 你才能够把质量和规模做好
[01:06:21] 今年下半年你们要量产吗
[01:06:23] 你觉得现在难点是什么
[01:06:25] 有很多点吧
[01:06:26] 我觉得是硬件上
[01:06:27] 能不能做到相当的可靠和稳定啊
[01:06:30] 我觉得第二个就是高等级的多个大模型
[01:06:34] 能不能可以很好的拟合
[01:06:37] 我觉得第三个上还有一个很难的是商业化
[01:06:40] 能不能证明啊
[01:06:41] 实际上七成都是无数个坑
[01:06:43] 所以为什么说它比汽车难得多
[01:06:45] 汽车你只要造出来
[01:06:46] 假设没有竞品
[01:06:47] 假设有用户需要
[01:06:49] 你一定相信他是个可以卖出去的东西
[01:06:51] 但是机器人你不敢说嗯
[01:06:53] 机器人还没有被定义清楚
[01:06:55] 到今天是市场也在等待
[01:06:57] 市场等待时
[01:06:57] 你有没有一个类似嗯
[01:06:59] 那maybe像iphone four一样的手机出现
[01:07:03] 但是我相信第一款商业量产的机器人
[01:07:09] 我认为还达不到iphone one
[01:07:13] 但是iphone one毕竟是一个工具
[01:07:17] 它可以取代
[01:07:18] 因为在那个年代还有很多其他的手机工具
[01:07:22] 有LUCA
[01:07:22] 有摩托罗拉
[01:07:24] 有索尼爱立信嗯
[01:07:25] 但是机器人有可能出来的时候
[01:07:27] 很多人都没有做到类似的东西
[01:07:29] 我觉得所以他又是一个不是完全可避的事情
[01:07:32] 你觉得你的胜率有多大
[01:07:33] 这么长期的一个战役中
[01:07:35] 那要看你的目标有多大
[01:07:37] 才能知道你的胜率有多大啊
[01:07:39] 我觉得我自己的觉得是
[01:07:42] 我们大概有个两成两成的胜率啊
[01:07:47] 我觉得这已经是我看到中国企业里面
[01:07:50] 我自己认为是最高的胜率
[01:07:52] 你前天还在跟我说
[01:07:53] 造车像在血海里游泳
[01:07:56] 那做机器人呢
[01:07:57] 现在还没进入血海
[01:07:58] 血海在前面
[01:07:59] 但是我觉得机器人有一个很大的不同
[01:08:01] 就是机器人里面的AI所占的能力很强
[01:08:05] 而原来在血海里面游泳的那一群
[01:08:08] 跟你一起游泳的人
[01:08:10] 实际上绝大部分人都不太懂AI
[01:08:12] 今天在汽车行业里面
[01:08:14] 很多人说
[01:08:15] 因为我不懂软件
[01:08:16] 所以我找一个好的t o one
[01:08:18] 在汽车里面是worked
[01:08:20] 在机器里面是不work的
[01:08:22] 所以机器人的血海就像当年的互联网竞争一样
[01:08:26] 是会很快从血海到蓝海啊
[01:08:29] 所以它的进展的速度会极快啊
[01:08:32] 刚才我们说的是机器人
[01:08:33] 那今年你们也会发多款新车
[01:08:35] 包括你们的GX
[01:08:37] 我们要不要聊聊你这个产品
[01:08:38] 对GX是小鹏再一次做高端对
[01:08:42] 这也是我们第一次做一款全尺寸六座的大SUV啊
[01:08:48] 也就是我们旗舰叫做旗舰SUV
[01:08:50] 非常有趣啊
[01:08:51] 今年的北京车展大概有30款
[01:08:55] 这样的全新的全尺寸呃
[01:08:57] 我自己的在我的脑袋里面大概有几款吧
[01:09:00] 小鹏实际上在这个里面做到
[01:09:01] 有很多的跟他们的差别
[01:09:04] 我我觉得我们第一次是在思考
[01:09:07] 我们如何把汽车飞行
[01:09:10] 汽车跟机型的很多能力
[01:09:12] 在这一代新的智能汽车里面把它贯通起来了
[01:09:15] 我举个例子吧
[01:09:16] 我们把飞行汽车里面的飞行的核心零部件
[01:09:20] 浓于带到了这款车里面去
[01:09:23] 当然了
[01:09:24] 这一款GS我认为是全中国第一个整车厂
[01:09:27] 做了一个前装的logo test
[01:09:29] 所以它有八个全安全荣誉啊
[01:09:33] 也就是说你只开到野外去
[01:09:35] 电源坏了还能开
[01:09:37] 动力坏了还能开老鼠
[01:09:39] 把线速咬坏了还能开啊
[01:09:42] 它就像飞机一样
[01:09:43] 它允许你有冗余啊
[01:09:45] 我觉得第二个比如说举例嗯
[01:09:48] 我们把汽车的线控底盘跟我们新的EEA体系
[01:09:53] 跟我们的VAA的自动驾驶关联起来
[01:09:56] 它可以使新的底盘
[01:09:58] 能够在VIA的执行过程中间提高下限啊
[01:10:03] 也就是说安全级别更高
[01:10:05] 时延更短
[01:10:06] 控制的灵敏度可以提高接近百分之好几十
[01:10:10] 实际上是这是我们比如说举的一个例子呃
[01:10:13] 那么第三个很快了
[01:10:15] 我们把集成里面的嗯思考
[01:10:18] 就机器人是要听你一个任务
[01:10:20] 比如说小金说你帮我拿瓶水
[01:10:22] 那就是一个任务
[01:10:23] 他首先要判断你是谁
[01:10:24] 你不是我主人
[01:10:25] 我不听你话啊
[01:10:26] 然后水在哪里
[01:10:27] 你要喝什么水
[01:10:29] 拿完水之后去哪里拿
[01:10:30] 然后怎么给你等一系列的这个事情
[01:10:32] 汽车在未来不远的将来就会看到嗯
[01:10:35] 所以今天我们对外没有去讲这个太多
[01:10:38] 实际上它是本身是来源于机器人
[01:10:41] 当然它还来源于我们很多从汽车上的能力了
[01:10:44] 比如说举例这个车
[01:10:46] 它的第三排空间可以完全的推平
[01:10:49] 变成一个两排车
[01:10:51] 或者变成一个2.5排车
[01:10:52] 我们叫做四座
[01:10:54] 五座
[01:10:54] 六座都可以去坐的车
[01:10:56] 所以实际上你会看到他是把小鹏的自己的
[01:10:59] 很多能力分析的很多能力
[01:11:01] 机器人能力实际上是做了一个非常有趣的融合
[01:11:05] 然后也加上了我们很多我们合作伙伴
[01:11:07] 比如说我们跟福耀玻璃做了隐私玻璃
[01:11:10] 我们跟美帝做了新一代的车载的冰箱哦
[01:11:13] 我觉得有特别多的很有趣的能力的组合
[01:11:17] 所以实际上我们上一直都觉得做一个外表很大
[01:11:24] 有一部分好看
[01:11:26] 内饰很粗糙
[01:11:28] 然后细节不用户画
[01:11:30] 然后拼凑了很多能力的车
[01:11:33] 我觉得是那是叫血海
[01:11:36] 某种角度
[01:11:37] 实际上在车展里面看到特别多的这辆车
[01:11:39] 但是你怎么能够就能做成不一样呢
[01:11:43] 它需要一个全维度计啊
[01:11:46] 每一个点有的人说我这个点是60分
[01:11:49] 那个点是80分
[01:11:50] 还有个点是85
[01:11:51] 你可能你最差的点也是80分
[01:11:54] 然后还有更多的90分跟95
[01:11:57] 你才有可能在这个战争中间胜出啊
[01:12:00] 所以这是一个非常有趣的一个事情
[01:12:02] 这个价格是怎么定的
[01:12:03] 开始就想好了
[01:12:04] 还是最后定的
[01:12:05] 没有车在一开始就想清楚了一个逻辑啊
[01:12:09] 他一定都是一个规划
[01:12:10] 这个规划取决于你期望吃掉一个什么市场
[01:12:13] 你期望这个市场有什么样的规模嗯
[01:12:16] 期望有什么样的利润
[01:12:17] 然后另外在这个市场里面
[01:12:19] 可能会有什么样的市场的player啊
[01:12:22] 我觉得大概就几点吧
[01:12:24] 而且现在是个预售
[01:12:25] 应该5月21号啊
[01:12:27] 我们会正式的发布
[01:12:29] 所以发布会上会看到我们更清晰的配置跟这样
[01:12:32] 担不担心重蹈剧旧的覆辙
[01:12:35] 我不担心啊
[01:12:36] 因为那个时候的思考跟逻辑
[01:12:40] 跟这个时候所思考逻辑我觉得差别非常的大
[01:12:43] 特别多的东西
[01:12:44] 从过几年来看
[01:12:46] 如果你的能力到达一个更高的维度
[01:12:48] 你大概率你都可以分析出来以前的问题在哪
[01:12:52] 以及大概率论文现在的问题在哪
[01:12:55] 我认为是
[01:12:55] 而且我们到了今天不会是一个像以前一样
[01:12:59] 就是说当你的体系能力越强
[01:13:01] 你越难在某一两个点上能轻松的失败
[01:13:04] 你个人说你也挺喜欢这款车的
[01:13:07] 并且你希望是给朋友造的一款车
[01:13:09] 这都是一群什么样的人啊
[01:13:10] 你的目标画像是谁
[01:13:12] 我觉得30岁以上比较勇敢
[01:13:18] 然后很多人做的很好
[01:13:21] 嗯这个有的是创业者
[01:13:24] 有的是好的经理人员
[01:13:27] 好的专业人员
[01:13:28] 他们愿意探索新的科技
[01:13:31] 体验
[01:13:32] 新的科技的豪华
[01:13:33] 跟我们未来比较相近的逻辑
[01:13:35] 我觉得他是我们的第一批的用户
[01:13:37] 所以我们这款车商
[01:13:38] 更期望是用面向家庭的科技号
[01:13:42] 你开出去朋友有什么反反馈吗
[01:13:44] 我的朋友算很多
[01:13:45] 很喜欢
[01:13:46] 像明天我在北京
[01:13:47] 有一群的朋友都约着一起来看一下我们的车
[01:13:50] 然后很多人跟我说
[01:13:51] 他说小鹏你们早就应该做一款这么大的车了
[01:13:55] 他说虽然我跟我的家人身上很想去用一款大车
[01:14:00] 然后他们可能在过去的时间有人开过
[01:14:02] 有人坐过小鹏
[01:14:03] 其他车
[01:14:04] 实际上他们都很期待有一款更大的车
[01:14:06] 满足他们的需求
[01:14:07] 怎么面对跟理想的竞争
[01:14:08] 我觉得我们跟每一家都是友商
[01:14:10] 也都是同盟者
[01:14:12] 也可能是竞争者
[01:14:13] 今天我还跟理想去他的展台去看了下嗯
[01:14:17] 新的L9也是非常不错的车
[01:14:19] 我相信昨天我去了李斌那里看了ES9
[01:14:26] 这一次会都会给出各自不同的看法跟认知
[01:14:32] 你有从G9上复盘到什么
[01:14:34] 然后用到这一代车型里吗
[01:14:36] 我觉得太多了
[01:14:37] 我们的组织也调整了产品的规划
[01:14:40] 调整我们的对客户的认知也调整了
[01:14:45] 对商业的逻辑也调整了
[01:14:47] 我觉得太多了
[01:14:48] 觉得是这已经隔了3年半了吧
[01:14:51] 从2022年第一到现在
[01:14:54] 我觉得太多了
[01:14:55] 这么自信
[01:14:55] 就我觉得这是完全不一样的
[01:14:58] 能力级汽车是一个非常复杂的技术的
[01:15:07] 人性的经营的大集成体系
[01:15:12] 所以为什么他说是制造的明珠
[01:15:15] 嗯所以在这个领域里面学习得越深
[01:15:19] 总结得越深
[01:15:20] 你会看到很多不一样的点
[01:15:23] 实际上在很多小型的硬件或者消费型的硬件
[01:15:26] 他们是看不到的
[01:15:28] 他们把很多的制造交出去了
[01:15:30] 他们有很多的供应能力
[01:15:32] 靠供应链
[01:15:33] 它的组合可能性不高
[01:15:35] 所以在汽车领域里面
[01:15:37] 为什么我对于从2022年到2026年
[01:15:41] 我自己都认为是是巨大的质的提高
[01:15:44] 如果有人说小鹏的车丑
[01:15:46] 你怎么想
[01:15:47] 每一辆车都会说
[01:15:49] 碰到其他人说他的车丑
[01:15:51] 审美是一个主观性的逻辑
[01:15:54] 你觉得小鹏的车好看吗
[01:15:56] 我觉得在越来越好看的路上
[01:15:58] 其他的信心我不够主
[01:16:00] 对丑美的信心我还是很有信心
[01:16:03] 你说颜值第一啊
[01:16:04] 在内部颜值是一个相对论
[01:16:07] 对要在多个领域做到第一
[01:16:11] 才有可能颜值是其中一个领域
[01:16:13] 为什么不选一个做少而精的车型的策略呢
[01:16:17] 为什么今年要做四款车
[01:16:18] 我觉得每一个公司都有一个道
[01:16:21] 我觉得你不能去问A公司为什么不做少而精
[01:16:25] B公司不会做大
[01:16:27] 而全都有不同的逻辑论
[01:16:29] 你今年感觉整体都很自信啊
[01:16:31] 我觉得做企业没有不自信的吧
[01:16:34] 嗯你现在花时间最多在哪里呢
[01:16:37] 在车在机器人
[01:16:38] 在AI还是在哪里
[01:16:39] 还是在组织还是在采购
[01:16:41] 你所讲的都有参与
[01:16:43] 但是我觉得都不是我觉得最多的
[01:16:45] 我觉得还是在战略跟规划
[01:16:47] 就是未来是什么样的啊
[01:16:49] 就像刚才你问了很多问题
[01:16:50] 谁是成功的等等
[01:16:52] 可能他们以后会更成功
[01:16:54] 但是今天在我的角度来看
[01:16:55] 都不叫成功啊
[01:16:58] 就像汽车里面规模算成功吗
[01:17:01] 是成功的代表之一
[01:17:02] 不一定都成功
[01:17:04] 这个利润算成功吗
[01:17:06] 有些利润可能是临时的
[01:17:08] 也很痛苦
[01:17:09] 所以企业家里面对成功的概念
[01:17:11] 是有非常大的不同
[01:17:13] 所以换个角度
[01:17:14] 我可能花了更多的思考
[01:17:16] 是整个的企业的产品的和商业的战略和规
[01:17:21] 划的问题啊
[01:17:22] 但是这些规划问题他需要你的技术问题
[01:17:25] 你的组织问题
[01:17:27] 你的整个市场的问题等系列的组合能力
[01:17:31] 才能最后去做到啊
[01:17:33] 大概是这样
[01:17:34] 今年对你来说最重要的一件事情是什么呀
[01:17:37] 没有都很重要
[01:17:38] 很多都很重要
[01:17:40] 实际上汽车是一个很复合的问题
[01:17:44] 他比一个个人或者一个清晰的企业
[01:17:48] 他所说我只要把这一件事情做好就可以了
[01:17:51] 汽车做好一件事情不代表能做好
[01:17:55] 这是一个很痛苦的问题
[01:17:56] 就是刚才讲长板短板跟宽版的问题一样
[01:18:01] 很多人会想说
[01:18:02] 你应该做好一个长板
[01:18:03] 在绝大部分时候是对的
[01:18:05] 但绝大部分时候这个问题在汽车里面回答
[01:18:08] 它是一个复合的体系啊
[01:18:11] 你做好一个没有用
[01:18:12] 好比如说你把自动驾驶做得极好
[01:18:15] 做的level four行不行
[01:18:17] 第一一般我大概认为谁说今年做得到
[01:18:21] 我觉得吹牛逼
[01:18:22] 第二我认为就算他做到了
[01:18:24] 他也没有对他有巨大的价值
[01:18:26] 因为它的价值的体现是要逐步体现的
[01:18:29] 那你觉得l four什么时候会实现
[01:18:31] 我大概率认为18~24个月
[01:18:35] 这对你们来说还是对全行业来说
[01:18:37] 我觉得对我们实现以后会带来什么呢
[01:18:40] 会带来车子更多的销量吗
[01:18:42] 销量更多是百分之百的销量多多少
[01:18:46] 我需要认证
[01:18:48] 即使多了销量也不代表长期的价值
[01:18:51] 你看这里面都是不同的问题
[01:18:52] 比如说举例
[01:18:53] 我们上个月嗯
[01:18:55] 3月底我们发布了第二代VAA的第一个版本
[01:18:58] 我最近在车展跟大家分享了数据嗯
[01:19:02] 4月份是中国的汽车的销量
[01:19:05] 同环比都是下跌20%左右的
[01:19:07] 我们大概涨了50%到70啊
[01:19:11] 这里面有相当部分跟第二代VA相关
[01:19:14] 它好不好
[01:19:15] 我觉得不错
[01:19:16] 那么如果做了L4
[01:19:18] 能够把这个能力提高多少倍
[01:19:19] 一倍五倍十倍
[01:19:22] 我觉得我都很难判断
[01:19:24] 这就是好还是不好
[01:19:26] 第二个它到底是对社会
[01:19:29] 对行业的冲击是什么样的
[01:19:30] 今天实际上我们有很多的
[01:19:32] 在这个里面的看法是不一致的
[01:19:34] 我还是想说的是
[01:19:35] 汽车部企业的最后的成功
[01:19:37] 不是仅来自于AI里面的一个能力
